type,item_id,config,config_ts,value,name
tsmnode,6774,CfgTsmNodeSession_initiation,2021-02-12 22:40:56,ClientOrServer,AIDB1
tsmnode,6774,CfgTsmNodeSession_security,2021-02-12 22:40:56,Transitional,AIDB1
tsmnode,6774,CfgTsmNodeSplit_large_objects,2021-02-12 22:40:56,Yes,AIDB1
tsmnode,6774,CfgTsmNodeSsl_required,2021-02-12 22:40:56,Default,AIDB1
tsmnode,6774,CfgTsmNodeTcp_address,2021-02-12 22:40:56,10.100.3.119,AIDB1
tsmnode,6774,CfgTsmNodeTcp_name,2021-02-12 22:40:56,AIDB1,AIDB1
tsmnode,6774,CfgTsmNodeTotalFileSpaces,2021-02-12 22:40:56,2,AIDB1
tsmnode,6774,CfgTsmNodeTransport_method,2021-02-12 22:40:56,Unknown,AIDB1
tsmnode,6774,CfgTsmNodeTxngroupmax,2021-02-12 22:40:56,0,AIDB1
tsmnode,6774,CfgTsmNodeUrl,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeUtilityurl,2021-02-12 22:40:56,"",AIDB1
tsmnode,6774,CfgTsmNodeValidateprotocol,2021-02-12 22:40:56,NO,AIDB1
tsmnode,6777,CfgCollectionInterval,2021-02-12 22:40:56,300,AIDB2
tsmnode,6777,CfgName,2021-02-12 22:40:56,AIDB2,AIDB2
tsmnode,6777,CfgTsmNodeAggregation,2021-02-12 22:40:56,YES,AIDB2
tsmnode,6777,CfgTsmNodeArchdelete,2021-02-12 22:40:56,YES,AIDB2
tsmnode,6777,CfgTsmNodeAtrisk_interval,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeAtrisk_type,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeAuthentication,2021-02-12 22:40:56,Local,AIDB2
tsmnode,6777,CfgTsmNodeAuto_fs_rename,2021-02-12 22:40:56,NO,AIDB2
tsmnode,6777,CfgTsmNodeBackdelete,2021-02-12 22:40:56,NO,AIDB2
